Fabric,Usage,ProductName,POLYESTER,NYLON,POLYURETHANE,RAYON,POLYPROPYLENE,MODAL,POLYETHYLENE,COTTON,PTT,CUPRA,ACETATE,CORDURA,SILK,SPNDEX,혼용율,구성원사/번수,밀도,조직,후가공,Weight,Thick,WeightOut,ThickOut,OUTPUT,,,,,,,,,,
woven,active,SB-CN30 BRT,,100,,,,,,,,,,,,,NYLON 100%,N/F 30D BRT * N/F 43D BRT + N/F 70D BRT 2PLY,,,"PD, WR, SILICONE CIRE",5,0.15,,,,,,,,,,,,,
woven,active,20,,100,,,,,,,,,,,,,NYLON 100%,N/N20,,,"PD, WR",5.354,0.14,,,,,,,,,,,,,
woven,"active, outer",CREAMS,,21,3,,,,,76,,,,,,,"COTTON 76%, NYLON 21%, POLYURETHANE 3%",,,,,9.293,0.23,,,,,,,,,,,,,
woven,"active, outer",BPT-427HZ,100,,,,,,,,,,,,,,POLYESTER 100%,P/P75D(1450T/M),,PLAIN,,12.879,0.24,,,,,,,,,,,,,
woven,"active, dress",528128,100,,,,,,,,,,,,,,POLYESTER 100%,,2/1 TWILL(左方向),,,6.313,0.12,,,,,,,,,,,,,
woven,"active, top, dress",2,,20,7,,,,,73,,,,,,,"COTTON 73%, NYLON 20%, POLYURETHANE 7%",C/N80'S,,PLAIN,"PD, 유연",8.283,0.21,,,,,,,,,,,,,
woven,"active, outer",12,100,,,,,,,,,,,,,,POLYESTER 100%,P/P75,,,"PD, WR",15,0.31,,,,,,,,,,,,,
woven,active,#1834,,81,19,,,,,,,,,,,,"NYLON 81%, POLYURETHANE 19%",,333*186,,"PD, WR",12.374,0.35,,,,,,,,,,,,,
woven,active,FD 410T,,100,,,,,,,,,,,,,NYLON 100%,N/F 20FD * N/F 20FD,178*170,,"PD, WR, DP, C/T",3.737,0.08,,,,,,,,,,,,,
woven,"active, outer, top",15,,100,,,,,,,,,,,,,NYLON 100%,N/N70D,,PLAIN,"PD, WR",21.465,0.64,,,,,,,,,,,,,
woven,"active, outer",SUPPLEX PU,,100,,,,,,,,,,,,,NYLON 100%,N70D FD * N160D FD ATY,160*72,,"WR, PU",10.505,0.25,,,,,,,,,,,,,
woven,active,CYS04,,100,,,,,,,,,,,,,NYLON 100%,20D*20D+20D,,,,5.303,0.12,,,,,,,,,,,,,
woven,"active, outer, top, dress",13. 민들레,,,,,,,,,,,,,,,,,,,,13.687,0.47,,,,,,,,,,,,,
woven,"active, dress",NC 30's 1/3 TWILL FD-3,,45,,,,,,55,,,,,,,NYLON 45% COTTON 55%,P/F 70D FD * CM 30S,194*97,TWILL,"PD, WR",13.586,0.29,,,,,,,,,,,,,
woven,active,SB-I2080 R/S Tpu,13,87,,,,,,,,,,,,,NYLON 87% POLYESTER 13%,NF/20D SD + NP80 ITY SD * N/F 20D SD + NP80 ITY SD,226*160,Ripstop,"WR, Tpu",7.172,0.2,,,,,,,,,,,,,
woven,"active, outer, top, dress",25.서랑,,,,,,,,,,,,,,,,,,,,7.172,0.2,,,,,,,,,,,,,
woven,active,CYS25,,100,,,,,,,,,,,,,NYLON 100%,N75D*N100D,,,,18.283,0.48,,,,,,,,,,,,,
woven,active,CYS11,100,,,,,,,,,,,,,,POLYESTER 100%,P50D*P50D,,,,7.02,0.13,,,,,,,,,,,,,
woven,active,H2O-P356R,100,,,,,,,,,,,,,,POLYESTER 100%,,,2LAYER,"PD, WR",15.101,0.28,,,,,,,,,,,,,
woven,"active, top, dress",43,,53,,,,,,47,,,,,,,"NYLON 53%, COTTON 47%",N/C60'S,,,"PD, WR",8.939,0.22,,,,,,,,,,,,,
woven,active,CYS29,100,,,,,,,,,,,,,,POLYESTER 100%,P75D*P75D,,,,11.919,0.23,,,,,,,,,,,,,
woven,"active, outer, top, dress",10.오가닉 60's,,,,,,,,,,,,,,,,,,,,12.273,0.29,,,,,,,,,,,,,
woven,active,CYS22,100,,,,,,,,,,,,,,POLYESTER 100%,P50D*P51D,,,,11.465,0.22,,,,,,,,,,,,,
woven,"active, top, dress",JQ 2600,49,,,,,,,,,,51,,,,"ACETATE 51%, POLYESTER 49%",,,,,8.485,0.18,,,,,,,,,,,,,
woven,active,H2O-XN560,,89,11,,,,,,,,,,,,"NYLON 89%, POLYURETHANE 11%",N20D*(N30D+PU20D),,,"PD, WR, COATED, A.WS, COTTON LIKE NYLON WEFT STRETCH",11.717,0.28,,,,,,,,,,,,,
woven,"active, outer, top",YE223,,37,,,,,,63,,,,,,,"COTTON 63%, NYLON 37%",,,,"NATURALMIXTURE, PD, WR",17.172,0.37,,,,,,,,,,,,,
woven,"active, outer, top",88,,50,,,,,,50,,,,,,,"COTTON 50%, NYLON 50%",N/C40*60,,PLAIN,"PD, WR",8.889,0.23,,,,,,,,,,,,,
woven,"active, outer",SMV-112,,,,,,,,50,,,,50,,,"CORDURA 50%, COTTON 50%",,,,"PD, WR",13.939,0.33,,,,,,,,,,,,,
woven,active,R1602 DP,34,66,,,,,,,,,,,,,NYLON 66% POLYESTER 34%,N/F 30/34 FD * NPI 50*44 SD,168*126,,"PD, WR, DP, CT",5.202,0.1,,,,,,,,,,,,,
woven,active,CYS27,100,,,,,,,,,,,,,,POLYESTER 100%,P75D*P75D,,,,11.566,0.3,,,,,,,,,,,,,
woven,"active, outer, top",YNC202-2(A/W),,36,,,,,,64,,,,,,," COTTON 64%, NYLON 36%",,,,,15.707,0.34,,,,,,,,,,,,,
woven,active,CYS28,100,,,,,,,,,,,,,,POLYESTER 100%,P150D*P150D,,,,13.889,0.36,,,,,,,,,,,,,
woven,"active, outer",BPT-846,83,17,,,,,,,,,,,,,"POLYESTER 83%, NYLON 17%",NP/P75D,,PLAIN,MEMORY,12.727,0.23,,,,,,,,,,,,,
woven,"active, top, dress",JQ 0600,100,,,,,,,,,,,,,,POLYESTER 100%,,,,,6.414,0.13,,,,,,,,,,,,,
woven,"active, outer",MQ36-SH,100,,,,,,,,,,,,,,POLYESTER 100%,,,,"PD, WR",15.253,0.3,,,,,,,,,,,,,
woven,"active, outer, top, dress",12. 쿨스판,,,,,,,,,,,,,,,,,,,,16.162,0.33,,,,,,,,,,,,,
woven,"active, outer",FD POSLAN,100,,,,,,,,,,,,,,POLYESTER 100%,P75 FD DTY * P150 FD DTY 2P,130*53,,"PD, WR, Pu",12.475,0.27,,,,,,,,,,,,,
woven,"active, outer",F/W 4097A,55,,,,,,,,,,,,45,,"POLYESTER 55%, SILK 45%",,,,,8.333,0.22,,,,,,,,,,,,,
woven,"active, outer",678171,,100,,,,,,,,,,,,,NYLON 100%,,,,,8.737,0.21,,,,,,,,,,,,,
woven,active,CYS12,,100,,,,,,,,,,,,,NYLON 100%,N30D*N30D,,,,5.202,0.09,,,,,,,,,,,,,
woven,"active, top",CYS16,100,,,,,,,,,,,,,,POLYESTER 100%,P75D*P75D,,,,8.03,0.2,,,,,,,,,,,,,
woven,"active, outer",96,100,,,,,,,,,,,,,,POLYESTER 100%,P/P75*150,,,"PD, WR",11.818,0.24,,,,,,,,,,,,,
woven,"active, outer, dress",11. 깐졸리,,,,,,,,,,,,,,,,,,,,15,0.36,,,,,,,,,,,,,
woven,"active, outer",CYSLJ-0108,,32,4,,,,,64,,,,,,,"COTTON 64%, NYLON 32%, POLYURETHANE4%",40*100D*40D,,,,16.818,0.37,,,,,,,,,,,,,
woven,"active, outer",BBS-033,100,,,,,,,,,,,,,,POLYESTER 100%,,,PLAIN,,15.808,0.26,,,,,,,,,,,,,
woven,active,CYS23,100,,,,,,,,,,,,,,POLYESTER 100%,P75D*P75D,,,,14.646,0.32,,,,,,,,,,,,,
woven,"active, outer",TYVEK-UM29,100,,,,,,,,,,,,,,"F: POLYURETHANE 100%, B: HDPE 100%",,,,,8.586,0.26,,,,,,,,,,,,,
woven,active,XX1,85,,15,,,,,,,,,,,,"POLYESTER 85%, POLYURETHANE 15%",,,,,,0.64,,,,,,,,,,,,,
woven,active,PY2,,78,,,,,,,,,,,,22,"NYLON 78%, SPNDEX 22%",,,,,,0.48,,,,,,,,,,,,,
woven,active,AR3,,74,26,,,,,,,,,,,,"NYLON 74%, POLYURETHANE 26%",,,,,,0.73,,,,,,,,,,,,,
woven,active,SG4,85,,15,,,,,,,,,,,,"POLYESTER 85%, POLYURETHANE 15%",,,,,,0.82,,,,,,,,,,,,,
woven,active,CR5,83,,,,,,,,,,,,,17,"POLYESTER 83%, SPNDEX 17%",,,,,,0.51,,,,,,,,,,,,,
woven,active,SL6,85,,15,,,,,,,,,,,,"POLYESTER 85%, POLYURETHANE 15%",,,,,,0.67,,,,,,,,,,,,,
woven,active,AE7,,75,,,,,,,,,,,,25,"NYLON 75%, SPNDEX 25%",,,,,,0.44,,,,,,,,,,,,,
woven,active,GE8,,75,25,,,,,,,,,,,,"NYLON 75%, POLYURETHANE 25%",,,,,,0.76,,,,,,,,,,,,,
woven,active,MR9,,71,29,,,,,,,,,,,,"NYLON 71%, POLYURETHANE 29%",,,,,,0.42,,,,,,,,,,,,,
woven,active,AE10,,82,18,,,,,,,,,,,,"NYLON 82%, POLYURETHANE 18%",,,,,,0.48,,,,,,,,,,,,,
노란색 부분은 의류시험원 데이터,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
